id,Nombre,Img,cats,Beneficios,Tags,Forma,Tamaño,notaAdvertencia,familia
102001,Abre Caminos,Assets\Images\Abre_caminos.webp,Aromáticos,"|||Aroma herbal intenso que deja sensación limpia y vigorizante.|||Limpieza amable con base de glicerina, enjuague fácil.|||Ideal para rutinas matutinas cuando buscas un efecto despeje.","NS, AL",solido,100 g,"Por los borániccos potentes, no recomendado para piel muy reactiva. Prueba de parche primero.",Jabon solido
102002,Albahaca,Assets\Images\Albahaca.webp,Aromáticos,"|||Aroma herbal fresco que deja sensación limpia y despejada tras el enjuague.|||Base de glicerina: limpieza suave, fácil de enjuagar, sin sensación pegajosa.|||Acompaña rutinas matutinas aportando una sensación de equilibrio en piel normal/mixta.|||Espuma ligera que no satura; ideal para uso cotidiano.|||Notas verdes tipo spa casero, pensadas para un baño revitalizante.","NS, AL",solido,100 g,Contiene compuestos aromáticos potencialmente sensibilizantes → No sensible (NS) · Alergeno (AL).,Jabon solido
102003,Almendras,Assets\Images\Almendras.webp,Aromáticos,"|||Aroma suave y cálido tipo mazapán que acompaña sin invadir.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Aporta confort y sensación emoliente en piel normal a seca.|||Espuma cremosa que hace la rutina rápida y agradable.|||Ideal para baño nocturno por su perfil reconfortante.","NS, AL",solido,100 g,"Si tiene alergia a frutos secos o piel muy reactiva, mejor elija entre nuestros jabónes ""Sencibles"" o pruebe otra fragancia de esta línea.",Jabon solido
102004,Almendras y avena,Assets\Images\Almendras_avena.webp,Aromáticos,"|||Aroma cálido y cremoso que acompaña sin invadir.|||Base de glicerina: limpia suave y se enjuaga fácil, sin sensación pegajosa.|||Avena ayuda a dar suavidad y a calmar la apariencia de irritaciones leves del día a día.|||Perfil emoliente por la almendra: deja tacto mas flexible tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.","NS, AL",solido,100 g,"Si tiene piel muy reactiva o alergia a frutos secos, pruebe mejor nuestro jabón de Avena.",Jabon solido
102005,Aloe Vera,Assets\Images\Aloe_vera.webp,Piel sensible,"|||Humectacion inmediata: ayuda a retener agua y reduce la sensación de tirantez.|||Efecto calmante y refrescante tras ducha; acompaña pieles que se irritan fácil.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta confort en climas calurosos o después de exposición solar ligera.|||Espuma ligera pensada para uso cotidiano y pieles que buscan suavidad.",S,solido,100 g,,Jabon solido
102006,Aloe vera y acido hialurónico,Assets\Images\Aloe_vera_acido_hialuronico.webp,Piel sensible,"|||Hidratacion profunda y sostenida: el hialuronico ayuda a retener agua y mejorar la sensación de elasticidad.|||Calma inmediata: el aloe aporta frescura y reduce la sensación de tirantez tras la ducha.|||Limpieza suave: base de glicerina, enjuague fácil, sin residuo pegajoso.|||Confort de barrera: uso cotidiano que apoya a una piel que se irrita con facilidad.|||Acabado cómodo: espuma ligera; piel se siente suave y con mejor flexibilidad al tacto.",S,solido,100 g,,Jabon solido
102007,Anti acné salicílico y aloe vera,Assets\Images\Anti-acne_aloe_vera.webp,Astringente,"|||Apoyo antiimperfecciones: el acido salicilico (BHA) ayuda a desobstruir poros y mejorar la apariencia de brotes.|||Limpieza dirigida sin sensación jabónosa pesada; base de glicerina con aloe para dar frescura.|||Con uso constante, favorece una piel con menos brillo y textura mas uniforme.|||Espuma ligera y enjuague fácil, pensado para rutina de piel mixta/grasa.|||Puede complementar rutinas con activos seborreguladores (niacinamida, zinc) —en productos aparte.","NS, AL",solido,100 g,"No recomendado para piel muy reactiva. Evitar uso si hay alergia a salicilatos/aspirina. Haz prueba de parche. Si reseca, reduce frecuencia (dia por medio).",Jabon solido
102008,Arándanos,Assets\Images\Arandanos.webp,Aromáticos,"|||Antioxidante: los arándanos aportan antocianinas que ayudan a neutralizar radicales libres, dejando una apariencia mas luminosa.|||sensación astringente ligera: ayuda a que la piel se sienta mas fresca y con menos brillo tras el lavado.|||Base de glicerina: limpieza suave, enjuague fácil y sin sensación pegajosa.|||Aroma frutal que anima la rutina diaria sin volverse invasivo.|||Espuma ligera, pensada para uso diurno en piel normal/mixta.","NS, AL",solido,100 g,"No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche; si irrita, suspende.",Jabon solido
102009,Árnica,Assets\Images\Arnica.webp,Aromáticos,"|||Aroma herbal intenso que acompaña rutinas post-dia/post-entreno con sensación reconfortante.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta una sensación de frescura al finalizar el baño.|||Espuma ligera que no satura; ideal para uso en cuerpo.|||Deja la piel con tacto limpio y aroma verde tipo spa.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. No recomendado para piel muy reactiva. Evita rostro/contorno de ojos y piel lesionada o irritada. Haz prueba de parche; si irrita, suspende.",Jabon solido
102010,Arroz,Assets\Images\Arroz.webp,Piel sensible,"|||Calma y suaviza: aporta sensación de confort en pieles que se irritan fácil.|||Limpieza gentil con base de glicerina; enjuague fácil, sin sensación pegajosa.|||Confort diario: espuma ligera pensada para uso cotidiano.|||Ayuda a que la piel se sienta menos tirante después del baño.|||Ideal para rutinas neutras (sin aromas intensos) o climas secos.",S,solido,120 g,,Jabon solido
102011,Arroz con aloe vera,Assets\Images\Arroz_aloe_vera.webp,Piel sensible,"|||Confort inmediato: combinacion de arroz + aloe para piel que se irrita fácil.|||Hidratacion ligera: ayuda a retener agua y a disminuir la sensación de tirantez post-baño.|||Limpieza gentil: base de glicerina, espuma ligera y enjuague fácil, sin residuo pegajoso.|||Uso cotidiano: ideal para rutina diaria y climas secos o calurosos.|||Perfil neutro y amable: sin aromas intensos; pensado para quienes buscan sencillez y suavidad.",S,solido,100 g,,Jabon solido
102012,Avena miel,Assets\Images\Avena_miel.webp,Aromáticos,"|||Aroma dulce y reconfortante que hace mas agradable la rutina.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||La avena aporta suavidad y sensación de confort tras el baño.|||Espuma cremosa ideal para climas secos o uso nocturno.|||Deja tacto mas flexible cuando se seca sin fricción.","NS, AL",solido,100 g,Evitar en personas con alergia a productos de abeja o piel muy reactiva. Haz prueba de parche.,Jabon solido
102013,Avena para bebe,Assets\Images\Avena_bebe.webp,Aromáticos,"|||Aroma suave “bebe” que aporta sensación de confort y limpieza fresca.|||Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.|||La avena ayuda a dejar la piel con tacto mas suave tras el baño.|||Espuma ligera/cremosa que hace la rutina rápida y agradable.|||Ideal para quien busca un aroma tierno sin notas intensas.","NS, AL",solido,100 g,"En piel muy reactiva o con antecedentes de sensibilidad a fragancias, mejor elegir tu Avena sin perfume.",Jabon solido
102014,Bergamota,Assets\Images\Bergamota.webp,Astringente,"|||Aroma cítrico brillante que deja sensación fresca y limpia tras el enjuague.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para uso diurno en piel normal/mixta.|||Perfil aromático que anima la rutina sin volverse invasivo.","NS, AL",solido,100 g,No recomendado para piel muy reactiva. Evita el contorno de ojos y realiza prueba de parche.,Jabon solido
102015,Café,Assets\Images\Cafe.webp,Exfoliante,"|||Exfoliación física suave con particulas de café: ayuda a retirar células muertas y mejora la apariencia de zonas asperas (codos, rodillas).|||sensación energizante: aroma a café que anima la rutina matutina.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Piel con tacto mas liso y aspecto mas uniforme tras el secado.|||usalo 2–3 veces por semana; alterna con un jabón no exfoliante.","NS, AL",solido,100 g,"Evita en rostro, piel muy reactiva, irritada o con dermatitis/rosacea.",Jabon solido
